,BLKA,BLKA_RANK,CFID,CFPARAMS,EFG_PCT,EFG_PCT_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,GROUP_SET,PCT_AST_2PM,PCT_AST_2PM_RANK,PCT_AST_3PM,PCT_AST_3PM_RANK,PCT_AST_FGM,PCT_AST_FGM_RANK,PCT_UAST_2PM,PCT_UAST_2PM_RANK,PCT_UAST_3PM,PCT_UAST_3PM_RANK,PCT_UAST_FGM,PCT_UAST_FGM_RANK,PLAYER_ID,PLAYER_NAME,Playoff,Name,ID
0,0,1,45,203546,1.278,3,5,5,5,5,1.0,1,9,8,9,8,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203546,"Clark, Ian",,Kevin Durant,0
1,0,1,45,201939,1.162,6,32,1,32,1,1.0,1,99,1,99,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201939,"Curry, Stephen",,Kevin Durant,1
2,0,1,45,203110,1.12,8,22,2,22,2,1.0,1,92,2,92,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203110,"Green, Draymond",,Kevin Durant,2
3,0,1,45,2738,1.163,5,15,3,15,3,1.0,1,46,3,46,3,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2738,"Iguodala, Andre",,Kevin Durant,3
4,0,1,45,2733,1.067,12,2,7,2,7,1.0,1,15,6,15,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2733,"Livingston, Shaun",,Kevin Durant,4
5,0,1,45,1626172,1.25,4,1,9,1,9,1.0,1,2,10,2,10,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1626172,"Looney, Kevon",,Kevin Durant,5
6,0,1,45,203949,1.5,1,1,9,1,9,1.0,1,1,12,1,12,1.0,1,Assisted By,0.0,12,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203949,"McAdoo, James Michael",,Kevin Durant,6
7,0,1,45,1627775,1.1,10,1,9,1,9,1.0,1,5,9,5,9,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627775,"McCaw, Patrick",,Kevin Durant,7
8,0,1,45,201580,1.0,13,0,13,0,13,0.0,13,2,10,2,10,1.0,1,Assisted By,1.0,1,0.0,13,1.0,1,0.0,1,0.0,1,0.0,1,201580,"McGee, JaVale",,Kevin Durant,8
9,0,1,45,2585,1.133,7,8,4,8,4,1.0,1,30,4,30,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2585,"Pachulia, Zaza",,Kevin Durant,9
10,0,1,45,202691,1.104,9,5,5,5,5,1.0,1,24,5,24,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202691,"Thompson, Klay",,Kevin Durant,10
11,0,1,45,2760,1.5,1,1,9,1,9,1.0,1,1,12,1,12,1.0,1,Assisted By,0.0,12,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2760,"Varejao, Anderson",,Kevin Durant,11
12,0,1,45,2561,1.071,11,2,7,2,7,1.0,1,14,7,14,7,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2561,"West, David",,Kevin Durant,12
13,0,1,45,203546,1.5,1,2,4,2,4,1.0,1,2,9,2,9,1.0,1,Assisted By,0.0,9,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203546,"Clark, Ian",Yes,Kevin Durant,13
14,0,1,45,201939,1.121,6,8,1,8,1,1.0,1,33,1,33,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201939,"Curry, Stephen",Yes,Kevin Durant,14
15,0,1,45,203110,1.15,5,6,2,6,2,1.0,1,20,2,20,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203110,"Green, Draymond",Yes,Kevin Durant,15
16,0,1,45,2738,1.056,8,1,6,1,6,1.0,1,9,3,9,3,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2738,"Iguodala, Andre",Yes,Kevin Durant,16
17,0,1,45,2733,1.0,9,0,9,0,9,0.0,9,3,6,3,6,1.0,1,Assisted By,1.0,1,0.0,9,1.0,1,0.0,1,0.0,1,0.0,1,2733,"Livingston, Shaun",Yes,Kevin Durant,17
18,0,1,45,1627775,1.333,3,2,4,2,4,1.0,1,3,6,3,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627775,"McCaw, Patrick",Yes,Kevin Durant,18
19,0,1,45,2585,1.167,4,1,6,1,6,1.0,1,3,6,3,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2585,"Pachulia, Zaza",Yes,Kevin Durant,19
20,0,1,45,202691,1.375,2,3,3,3,3,1.0,1,4,5,4,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202691,"Thompson, Klay",Yes,Kevin Durant,20
21,0,1,45,2561,1.071,7,1,6,1,6,1.0,1,7,4,7,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2561,"West, David",Yes,Kevin Durant,21
22,0,1,45,2399,1.0,14,0,14,0,14,0.0,14,3,12,3,12,1.0,1,Assisted By,1.0,1,0.0,14,1.0,1,0.0,1,0.0,1,0.0,1,2399,"Dunleavy, Mike",,LeBron James,22
23,0,1,45,1627770,1.25,2,1,9,1,9,1.0,1,2,13,2,13,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627770,"Felder, Kay",,LeBron James,23
24,0,1,45,101112,1.125,8,2,7,2,7,1.0,1,8,9,8,9,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,101112,"Frye, Channing",,LeBron James,24
25,0,1,45,202681,1.131,7,26,1,26,1,1.0,1,99,1,99,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202681,"Irving, Kyrie",,LeBron James,25
26,0,1,45,2210,1.029,13,1,9,1,9,1.0,1,17,5,17,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2210,"Jefferson, Richard",,LeBron James,26
27,0,1,45,2592,1.0,14,0,14,0,14,0.0,14,1,14,1,14,1.0,1,Assisted By,1.0,1,0.0,14,1.0,1,0.0,1,0.0,1,0.0,1,2592,"Jones, James",,LeBron James,27
28,0,1,45,2594,1.083,10,1,9,1,9,1.0,1,6,10,6,10,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2594,"Korver, Kyle",,LeBron James,28
29,0,1,45,202732,1.056,12,1,9,1,9,1.0,1,9,8,9,8,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202732,"Liggins, DeAndre",,LeBron James,29
30,0,1,45,201567,1.065,11,7,2,7,2,1.0,1,54,2,54,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201567,"Love, Kevin",,LeBron James,30
31,0,1,45,203895,1.25,2,2,7,2,7,1.0,1,4,11,4,11,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203895,"McRae, Jordan",,LeBron James,31
32,0,1,45,202697,1.154,4,4,5,4,5,1.0,1,13,6,13,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202697,"Shumpert, Iman",,LeBron James,32
33,0,1,45,2747,1.132,6,5,4,5,4,1.0,1,19,4,19,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2747,"Smith, JR",,LeBron James,33
34,0,1,45,202684,1.154,4,4,5,4,5,1.0,1,13,6,13,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202684,"Thompson, Tristan",,LeBron James,34
35,0,1,45,101114,1.103,9,6,3,6,3,1.0,1,29,3,29,3,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,101114,"Williams, Deron",,LeBron James,35
36,0,1,45,202682,1.5,1,1,9,1,9,1.0,1,1,14,1,14,1.0,1,Assisted By,0.0,15,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202682,"Williams, Derrick",,LeBron James,36
37,0,1,45,101112,1.0,7,0,7,0,7,0.0,7,2,7,2,7,1.0,1,Assisted By,1.0,1,0.0,7,1.0,1,0.0,1,0.0,1,0.0,1,101112,"Frye, Channing",Yes,LeBron James,37
38,0,1,45,202681,1.167,2,10,1,10,1,1.0,1,30,1,30,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202681,"Irving, Kyrie",Yes,LeBron James,38
39,0,1,45,2210,1.0,7,0,7,0,7,0.0,7,2,7,2,7,1.0,1,Assisted By,1.0,1,0.0,7,1.0,1,0.0,1,0.0,1,0.0,1,2210,"Jefferson, Richard",Yes,LeBron James,39
40,0,1,45,2594,1.0,7,0,7,0,7,0.0,7,4,5,4,5,1.0,1,Assisted By,1.0,1,0.0,7,1.0,1,0.0,1,0.0,1,0.0,1,2594,"Korver, Kyle",Yes,LeBron James,40
41,0,1,45,201567,1.026,6,1,3,1,3,1.0,1,19,2,19,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201567,"Love, Kevin",Yes,LeBron James,41
42,0,1,45,202697,1.25,1,1,3,1,3,1.0,1,2,7,2,7,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202697,"Shumpert, Iman",Yes,LeBron James,42
43,0,1,45,2747,1.125,4,1,3,1,3,1.0,1,4,5,4,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2747,"Smith, JR",Yes,LeBron James,43
44,0,1,45,202684,1.1,5,1,3,1,3,1.0,1,5,4,5,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202684,"Thompson, Tristan",Yes,LeBron James,44
45,0,1,45,101114,1.136,3,3,2,3,2,1.0,1,11,3,11,3,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,101114,"Williams, Deron",Yes,LeBron James,45
46,0,1,45,2440,1.357,6,5,9,5,9,1.0,1,7,10,7,10,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2440,"Barnes, Matt",,Stephen Curry,46
47,0,1,45,203546,1.333,7,6,8,6,8,1.0,1,9,8,9,8,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203546,"Clark, Ian",,Stephen Curry,47
48,0,1,45,201142,1.321,8,43,2,43,2,1.0,1,67,2,67,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201142,"Durant, Kevin",,Stephen Curry,48
49,0,1,45,203110,1.277,10,72,1,72,1,1.0,1,130,1,130,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203110,"Green, Draymond",,Stephen Curry,49
50,0,1,45,2738,1.283,9,26,3,26,3,1.0,1,46,3,46,3,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2738,"Iguodala, Andre",,Stephen Curry,50
51,0,1,45,2733,1.25,11,9,7,9,7,1.0,1,18,6,18,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2733,"Livingston, Shaun",,Stephen Curry,51
52,0,1,45,1626172,1.25,11,1,12,1,12,1.0,1,2,11,2,11,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1626172,"Looney, Kevon",,Stephen Curry,52
53,0,1,45,203949,1.5,1,1,12,1,12,1.0,1,1,13,1,13,1.0,1,Assisted By,0.0,12,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203949,"McAdoo, James Michael",,Stephen Curry,53
54,0,1,45,1627775,1.393,5,11,5,11,5,1.0,1,14,7,14,7,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627775,"McCaw, Patrick",,Stephen Curry,54
55,0,1,45,201580,1.5,1,2,11,2,11,1.0,1,2,11,2,11,1.0,1,Assisted By,0.0,12,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201580,"McGee, JaVale",,Stephen Curry,55
56,0,1,45,2585,1.2,13,10,6,10,6,1.0,1,25,4,25,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2585,"Pachulia, Zaza",,Stephen Curry,56
57,0,1,45,202691,1.409,4,18,4,18,4,1.0,1,22,5,22,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202691,"Thompson, Klay",,Stephen Curry,57
58,0,1,45,2760,1.5,1,1,12,1,12,1.0,1,1,13,1,13,1.0,1,Assisted By,0.0,12,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2760,"Varejao, Anderson",,Stephen Curry,58
59,0,1,45,2561,1.167,14,3,10,3,10,1.0,1,9,8,9,8,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2561,"West, David",,Stephen Curry,59
60,0,1,45,201142,1.25,7,7,2,7,2,1.0,1,14,2,14,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201142,"Durant, Kevin",Yes,Stephen Curry,60
61,0,1,45,203110,1.271,6,13,1,13,1,1.0,1,24,1,24,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203110,"Green, Draymond",Yes,Stephen Curry,61
62,0,1,45,2738,1.5,1,6,3,6,3,1.0,1,6,3,6,3,1.0,1,Assisted By,0.0,4,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2738,"Iguodala, Andre",Yes,Stephen Curry,62
63,0,1,45,2733,1.5,1,4,4,4,4,1.0,1,4,4,4,4,1.0,1,Assisted By,0.0,4,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2733,"Livingston, Shaun",Yes,Stephen Curry,63
64,0,1,45,1627775,1.5,1,1,7,1,7,1.0,1,1,8,1,8,1.0,1,Assisted By,0.0,4,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627775,"McCaw, Patrick",Yes,Stephen Curry,64
65,0,1,45,201580,1.5,1,2,5,2,5,1.0,1,2,6,2,6,1.0,1,Assisted By,0.0,4,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201580,"McGee, JaVale",Yes,Stephen Curry,65
66,0,1,45,2585,1.125,8,1,7,1,7,1.0,1,4,4,4,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2585,"Pachulia, Zaza",Yes,Stephen Curry,66
67,0,1,45,202691,1.5,1,2,5,2,5,1.0,1,2,6,2,6,1.0,1,Assisted By,0.0,4,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202691,"Thompson, Klay",Yes,Stephen Curry,67
